ticker,date,daily_return,return_30d,return_90d,return_180d,return_1y,volatility_30d,volatility_90d,sma50_ratio,sma200_ratio,drawdown,target_30d,target_90d,target_252d,future_date_30d,future_date_90d
ABB.NS,2019-01-09,0.0001538563783345,-0.041592976568742,-0.0163488174582139,0.0350017123515991,-0.0714821870796557,0.2276315439325898,0.2660894044997967,-0.0271355983951629,0.0124481292408091,-0.235731748086808,-0.0414742309868916,0.2413819991658283,0.1046290423782416,2019-02-21,2019-05-27
ABB.NS,2019-01-10,0.0007695025762104,-0.0704024161517876,-0.0050870480687408,0.0407714162010306,-0.0711326773620524,0.2050730629013097,0.2654966134138246,-0.0274040961705532,0.0132433929753459,-0.2351436416980449,-0.0402122021306597,0.2259726566172155,0.1148742209473383,2019-02-22,2019-05-28
ABB.NS,2019-01-11,0.0345993812465013,-0.0293587654824205,0.0156237581288005,0.055869395979222,-0.0486761875266085,0.2301340351218371,0.2708103511924729,0.0041835549317021,0.0481025700142951,-0.208680084958345,-0.0736102040692704,0.1800684929600544,0.0879454125711987,2019-02-25,2019-05-29
ABB.NS,2019-01-14,-0.0284259863953821,-0.0719457846798872,-0.0016800595919006,-0.0194630417828772,-0.0878742092409367,0.237589310308187,0.2743487341026321,-0.0247718223048937,0.0182396250356209,-0.231174134097714,-0.0547672107501204,0.2041917146422287,0.1286649383388001,2019-02-26,2019-05-30
ABB.NS,2019-01-15,-0.0108234215668019,-0.0691045722980854,-0.0116172828665893,-0.0446571510175983,-0.0988781672433432,0.2364817930750574,0.2749560578515532,-0.0349765521248992,0.0071587793253897,-0.239495460555836,-0.0526987602155559,0.2135014157916561,0.1326248072046436,2019-02-27,2019-05-31
ABB.NS,2019-01-16,-0.0044463455676402,-0.0684490973623226,-0.0138639376221941,-0.0485534433510329,-0.1044449945779667,0.2364166040658686,0.275033524209282,-0.0388269829212544,0.0026589343690397,-0.2428769265439639,-0.0469143906012767,0.2376014974385334,0.148377863330158,2019-02-28,2019-06-03
ABB.NS,2019-01-17,-0.0005824664923487,-0.0626502897527453,0.0074381826710447,-0.0410999678052276,-0.0934262913886416,0.2360699798007922,0.2725731631345758,-0.0390962944818662,0.0020290722906157,-0.243317925364836,-0.0327970457011297,0.2136862151495646,0.1400585100199307,2019-03-01,2019-06-04
ABB.NS,2019-01-18,-0.0082382121759534,-0.0741829404633567,0.0062689079571718,-0.0475089404069065,-0.0984174734735831,0.2359829291960336,0.27266751149261,-0.046598752647062,-0.006154069917899,-0.2495516328454212,-0.0332261447034418,0.19880901330527,0.1313588113922059,2019-03-05,2019-06-06
ABB.NS,2019-01-21,0.0039181941348538,-0.0822408688088558,-0.0114969188791151,-0.0569746360654035,-0.0846670848289717,0.2324080020530266,0.2702537855866254,-0.0422205507819009,-0.0022147229171759,-0.2466112304547255,-0.0285301408519972,0.2209430366180456,0.11112286174624,2019-03-06,2019-06-07
ABB.NS,2019-01-22,0.0218953023568821,-0.0627170061533772,-0.0280273494761876,-0.0260025606167376,-0.1141222994208178,0.2430289043440177,0.2646107052160919,-0.0212657789710953,0.0195288596563392,-0.2301155555532523,-0.0293701460770813,0.1942100078483952,0.1033019801380401,2019-03-07,2019-06-10
ABB.NS,2019-01-23,-0.0121835232160383,-0.076252788450402,-0.0586009186725795,-0.0119193196731811,-0.146290016378418,0.2444028706502529,0.2631599395722965,-0.032984891998992,0.0070217283971889,-0.239495460555836,-0.0210330492210335,0.1959093825199558,0.1400776871166877,2019-03-08,2019-06-11
ABB.NS,2019-01-24,-0.0269486768284766,-0.1199734606347769,-0.0950378872375429,-0.0215007851778431,-0.1662416148233326,0.2434499118269537,0.2659300436587544,-0.0584905957039385,-0.0200389104900657,-0.2599900516159063,0.006238336546295,0.1972424989095362,0.1724837423961875,2019-03-11,2019-06-12
ABB.NS,2019-01-25,-0.0029800318433788,-0.1279324432931888,-0.1428278895480195,-0.0235816703138781,-0.1897965968881346,0.2415398171640091,0.2500099951450307,-0.0608318415078976,-0.0228193927959619,-0.262195304826508,-0.0002789290074314,0.2026542592863298,0.1667696078883267,2019-03-12,2019-06-13
ABB.NS,2019-01-28,-0.0155029040838032,-0.1363191000861339,-0.1472313808398467,-0.0358675240273979,-0.1989428267329833,0.2436368200580422,0.2506622781448551,-0.0746088917992754,-0.0377596158853834,-0.2736334202483624,0.0500344364255784,0.2236974688446884,0.1967360172193721,2019-03-13,2019-06-14
ABB.NS,2019-01-29,0.0192283939855264,-0.1005608473669781,-0.1267341295522739,-0.0065890535278242,-0.2061670411703546,0.2480074773002492,0.2530235736947244,-0.0559097316111025,-0.0191405568308906,-0.2596665574749786,0.0402733109616535,0.2182858339808802,0.1673778525269811,2019-03-14,2019-06-17
ABB.NS,2019-01-30,0.0045674905304762,-0.0519509666954326,-0.1238092279979385,-0.0027599211674445,-0.2107283341422269,0.2117178791826763,0.2531830704224785,-0.0503719849466536,-0.0146094348400926,-0.2562850914868507,0.0309571226440361,0.2174119770216358,0.1100286685186742,2019-03-15,2019-06-18
ABB.NS,2019-01-31,0.0060490879247747,-0.0463233904484267,-0.1159979109707404,0.0218045447343788,-0.2240653364017767,0.2128534105222739,0.2534709188023767,-0.043616446971419,-0.0086489138116019,-0.2517862946142888,0.0262909925869336,0.2217637116964308,0.0983330340726083,2019-03-18,2019-06-19
ABB.NS,2019-02-01,-7.861004965437068e-05,-0.0319217978940752,-0.1115612108015002,0.0164183316813648,-0.2371301380603024,0.2090104150277615,0.2533950638921377,-0.0426985792458806,-0.0087287747924096,-0.2518451117308213,0.0372583784727291,0.2316853189732304,0.0676395684834807,2019-03-19,2019-06-20
ABB.NS,2019-02-04,0.0008646053629777,-0.0225685579421096,-0.0828682722035896,0.0261926826174236,-0.2326282507835351,0.2077777738773546,0.2485276274853373,-0.0408308441071816,-0.0079329761763636,-0.2511982530020858,0.0513627267823115,0.2244169517647591,0.0584126111917162,2019-03-20,2019-06-21
ABB.NS,2019-02-05,-0.0122122735377642,-0.0340974321589769,-0.1198698449292436,0.0187509858656311,-0.2244727734668001,0.2104443851608811,0.2439326706533594,-0.051244454943527,-0.0200226010805454,-0.26034282476198,0.0653944842416223,0.2410256675231352,0.055383968935577,2019-03-22,2019-06-24
ABB.NS,2019-02-06,0.0017094050028756,-0.027329494562393,-0.1226322982444149,0.0255178218064127,-0.2154066342694103,0.2102080334784756,0.2437640138971304,-0.0482427733938674,-0.0183636757299742,-0.2590784510862153,0.059330071256515,0.2374394480487687,0.0576483251781412,2019-03-25,2019-06-25
ABB.NS,2019-02-07,0.0052385393673362,-0.0324675351995994,-0.1101977425023836,0.0412299883208324,-0.2339099026372604,0.2082491684310902,0.2436780193980336,-0.0413363879463087,-0.0132861058106501,-0.2551971043841228,0.0508882781756283,0.2645084188762405,0.0705311196325702,2019-03-26,2019-06-26
ABB.NS,2019-02-08,-0.0089617083133625,-0.0442777047344489,-0.1096963729643709,0.0457839996453783,-0.2618718106855802,0.2090742053154202,0.2436257226452818,-0.0480375773205804,-0.0220554149911786,-0.2618718106855802,0.0568058468507517,0.2770186087937425,0.0460299698402517,2019-03-27,2019-06-27
ABB.NS,2019-02-11,-0.0170099330503962,-0.0770151059662234,-0.1328975459750837,0.0208083891545245,-0.2649607956289649,0.2055244012248413,0.2444005242782169,-0.0617411565826662,-0.0383174149493357,-0.2744273217684286,0.0657318469040844,0.2987923305450211,0.0714960708090886,2019-03-28,2019-06-28
ABB.NS,2019-02-12,0.0156831956973031,-0.050068250483114,-0.1188651322388004,0.048968285595055,-0.2301809416305141,0.2096061961064416,0.2460761129343073,-0.0450502591294657,-0.0228524365552966,-0.2630480234631064,0.051590025377014,0.277859889102686,0.0560058420486337,2019-04-01,2019-07-01
ABB.NS,2019-02-14,0.00402985682041,-0.0462763149743097,-0.0901728409693901,0.0795366792447622,-0.2226855904928562,0.2102001357814887,0.2421497790085648,-0.0393887256744637,-0.0185513514154065,-0.2600782125141447,0.0510253374909106,0.2720155466170018,0.0493161060830042,2019-04-02,2019-07-02
